symbol,balance,profit rate,p/l,
2269.HK,375056.1,-0.6249439,loss,32
6098.HK,439710.19,-0.56028981,loss,48
9618.HK,504462,-0.495538,loss,
0241.HK,531874.7,-0.4681253,loss,
0836.HK,576410.36,-0.42358964,loss,
2688.HK,583660.9468,-0.416339053,loss,
0003.HK,596946.78,-0.40305322,loss,
0968.HK,597834.96,-0.40216504,loss,
3690.HK,613403.2,-0.3865968,loss,
1810.HK,618150.56,-0.38184944,loss,
2382.HK,647826.9,-0.3521731,loss,
2331.HK,650433.5,-0.3495665,loss,
9988.HK,663144.15,-0.33685585,loss,
0017.HK,669520.35,-0.33047965,loss,
0700.HK,692731.9028,-0.307268097,loss,
0101.HK,724077.28,-0.27592272,loss,
6618.HK,740432.3,-0.2595677,loss,
3968.HK,741400.3,-0.2585997,loss,
1299.HK,743141.5,-0.2568585,loss,
2319.HK,743674,-0.256326,loss,
0868.HK,748872,-0.251128,loss,
0175.HK,765162.74,-0.23483726,loss,
0002.HK,776907.45,-0.22309255,loss,
2388.HK,815749.1,-0.1842509,loss,
0322.HK,817807.2,-0.1821928,loss,
1209.HK,824293.15,-0.17570685,loss,
1997.HK,841457.8,-0.1585422,loss,
0388.HK,862008.6,-0.1379914,loss,
0016.HK,864258.8,-0.1357412,loss,
0823.HK,890986.1,-0.1090139,loss,
0960.HK,892546.49,-0.10745351,loss,
9888.HK,895539.15,-0.10446085,loss,
0012.HK,899098.56,-0.10090144,loss,
9999.HK,907182.1,-0.0928179,loss,
1177.HK,926462.17,-0.07353783,loss,
0001.HK,926755.75,-0.07324425,loss,
0669.HK,931775.65,-0.06822435,loss,
6690.HK,938748.45,-0.06125155,loss,
1044.HK,945501.65,-0.05449835,loss,
0939.HK,951390.17,-0.04860983,loss,
0267.HK,952088.45,-0.04791155,loss,
0992.HK,952153.24,-0.04784676,loss,
1093.HK,954068.96,-0.04593104,loss,
0011.HK,967837.9,-0.0321621,loss,
1378.HK,977328.89,-0.02267111,loss,
0066.HK,987809.65,-0.01219035,loss,
0288.HK,988507.89,-0.01149211,loss,
1398.HK,991475.96,-0.00852404,loss,
9633.HK,1000412.2,0.0004122,profit,
0881.HK,1010497.4,0.0104974,profit,
1113.HK,1011895.45,0.01189545,profit,
0006.HK,1012138.15,0.01213815,profit,
2628.HK,1015679.98,0.01567998,profit,
0883.HK,1016829.95,0.01682995,profit,
2318.HK,1020857.85,0.02085785,profit,
1211.HK,1040866.8,0.0408668,profit,
0386.HK,1050488.74,0.05048874,profit,
3988.HK,1055898.86,0.05589886,profit,
0762.HK,1073029.34,0.07302934,profit,
1099.HK,1086446.74,0.08644674,profit,
0857.HK,1093276.41,0.09327641,profit,
2020.HK,1096218.55,0.09621855,profit,
0005.HK,1113227,0.113227,profit,
2313.HK,1119929.95,0.11992995,profit,
1928.HK,1154294.71,0.15429471,profit,
1038.HK,1161749.45,0.16174945,profit,
1876.HK,1178446.18,0.17844618,profit,
0981.HK,1222836.79,0.22283679,profit,
1929.HK,1227221.72,0.22722172,profit,
0941.HK,1229017.6,0.2290176,profit,
0688.HK,1243036.21,0.24303621,profit,
3692.HK,1256174.81,0.25617481,profit,
1109.HK,1287732.55,0.28773255,profit,
0027.HK,1301409.55,0.30140955,profit,
0316.HK,1441847.9,0.4418479,profit,
2899.HK,1534786.21,0.53478621,profit,
0291.HK,1633409.85,0.63340985,profit,
9961.HK,1642862.4,0.6428624,profit,
1088.HK,1815346.8,0.8153468,profit,
6862.HK,2139664.9,1.1396649,profit,
